fecha_hora,ciudad,temperatura,descripcion
2025-04-10 11:28:32,La Paz,12.99,nubes dispersas
2025-04-10 11:28:37,La Paz,12.99,nubes dispersas
2025-04-10 15:26:23,La Paz,14.99,muy nuboso
